year,short_term,long_term,,,
1981,15.33,13.1,,,
1982,17.58,16.4,,,
1983,11.744,14.7,,,
1984,12.333,13.75,,,
1985,18.919,13.5,,,
1986,15.435,12.95,,,
1987,13.185,12.8,,,
1988,13.074,11.95,,,
1989,17.728,13.5,,,
1990,15.051,13.4,,,
1991,10.5,11.17,,,
1992,6.5,8.9,,,
1993,5.25,7.37,,,
1994,4.75,9.63,,,
1995,7.5,8.86,,,
1996,7.5,8.93,,,
1997,5.5,7.15,,,
1998,5,5.58,,,
1999,4.75,6.21,,,
2000,6,6.17,,,
2001,5,5.9,,,
2002,4.723684211,6.01,,,
2003,4.75,4.8,,,
2004,5.25,5.85,,,
2005,5.5,5.14,,,
2006,5.75,5.74,,,
2007,6.25,6.2,,,
2008,7.249987416,6.59,,,
2009,3.000062069,5.56,,,
2010,4.5,5.33,,,
2011,4.75,5.16,,,
2012,3.5375,3,,,
2013,2.75,3.54,,,
2014,2.5,3.7,,,
2015,2,2.98,,,
2016,1.75,2.12,,,
2017,1.5,2.41,,,
2018,1.5,2.7,,,
2019,1.28,1.38,,,
2020,0.25,0.92,,,
2021,0.1,,,,
