Females,05-09,225849,223660,295100,297300,296600,292100,289600,295600,300600,307300,312900,317200,314400,310700,307900,305400,300000,295600,287400,277800,269600,263100,258800,262800,267100,273900,279700,286800,296000,304100,322400,345200,365100,398400,424600,439800,458700,478000,478000,488000,497600,504200,511600,518300,526200,538500,551500,570733,584692,592505,597796,598555,607537,601061,596552,600241,608428,625093,643617,652660,647740,639345,620451,602921,589653,578652,572567,574610,582575,592628,603863,614981,619790,623041,622929,623677,627920,634075,639529,645201,649805,653189,653425,650643,647081,645030,643600,645407,647292,651012,656114,662272,675429,690179,709016,727801,747615,763062,772830,781110,788310,791600,792900,787100,779800,775600,774500,766900,764600,768500,776900,782700,792100
Females,10-14,215206,212357,262200,269900,276700,286300,295200,299800,302900,302800,298300,294500,298900,302000,307300,312200,316500,314300,310800,308400,306200,301100,297200,289000,279200,270700,263700,258500,262000,267200,276700,286500,297700,310400,320600,339200,361500,381200,415600,443700,460100,478000,496700,494700,503500,513000,520600,532171,541309,550198,565128,579450,610302,622372,628762,631303,626762,615827,610098,607588,611656,621755,644131,662868,671104,667313,659692,639343,619747,609278,603878,600548,603308,608131,614271,621243,629492,635261,637066,638561,642777,648099,655629,662322,667589,671148,673833,673156,672906,672814,674651,674485,676322,677461,680087,682553,686064,696242,716030,736650,756640,775800,783900,788400,794100,800400,804100,811600,811500,807200,803800,803200,796300
Females,15-19,188681,221705,232800,237700,244700,251600,258500,266700,275500,283100,293300,301600,304700,306000,304000,298100,293900,298300,302000,307600,313100,317700,315800,312400,309800,307300,302100,297000,288200,279300,273200,270000,268000,273700,280300,289900,299500,310600,323800,334400,353700,375400,394300,428800,457100,474100,493100,514587,512654,521991,532612,540941,558525,571573,581547,594880,604248,617078,630739,638674,643051,641032,636266,630888,626368,629553,637729,658671,678507,689280,691024,684977,665301,644102,629060,619931,615454,620152,619415,623366,631458,643833,655832,661925,666720,670030,673600,678066,691130,703855,710996,710727,706860,710664,713960,716320,717359,719579,722530,725700,730350,727300,725200,739400,761100,785700,808800,823900,833700,842900,850300,855100,863500
Females,20-24,176349,218091,230000,230200,230900,232500,235000,238700,244900,253500,261000,266900,273200,279500,285100,293400,300800,303700,304900,303100,297700,294300,299100,303100,308600,313300,317000,313200,308500,306900,309500,312100,311500,303800,294700,287500,284100,283700,292700,302400,314800,324400,335000,347400,357400,376300,397800,418636,453824,484170,504953,524242,559060,553696,559363,569744,576429,580574,587624,597243,610710,625104,642027,657440,664357,665100,662902,656287,652751,652686,658687,669837,689640,704905,709923,706915,701113,683966,665351,647861,636013,630318,635585,646892,663262,677235,694794,712017,725515,743425,767754,780986,788193,797627,806152,813450,819905,829100,840530,849230,855870,845100,814900,792200,787600,797200,807600,828500,859300,890600,918700,944400,961900
Females,25-29,157515,188454,237300,236000,234800,232900,234800,235700,238200,240800,242800,243800,245200,248400,254300,259900,264800,270600,276800,282300,291600,300000,303700,305700,303700,297900,294100,297700,300500,306400,316800,331200,337100,337800,336700,335300,332600,330800,326000,320100,315600,312800,312100,319600,327900,340100,350200,362318,373977,385033,405396,429257,464860,500789,528433,547798,567739,583738,579905,585366,591462,599356,607572,620449,628978,639112,652448,666710,682410,696117,706374,706777,696935,688756,679247,677151,684303,703453,721422,728840,727526,721080,699510,681715,673022,668629,671866,685377,708492,740361,775995,800887,817086,838756,857350,873565,890360,906561,924380,937220,949350,951700,927500,905400,892600,890400,891500,895200,900200,911000,924400,938100,961200
Females,30-34,136009,159841,221100,227400,231600,235600,238100,240300,240200,240100,238400,239500,239200,239800,240300,240500,240400,241600,244700,250600,257100,262900,269600,276700,282200,290900,298800,301900,303100,301900,300300,302700,314200,324000,334700,344700,354100,356300,357100,357400,357400,354300,352300,345600,338800,334100,332200,333185,342413,351603,365509,377635,398147,410822,421255,440137,457097,472595,510873,541976,561593,580650,604689,606385,613973,619911,625206,633512,646456,660797,677378,694449,711951,724467,729572,732766,728717,720913,712581,705818,707052,714004,735150,751776,761226,760318,755485,740226,730822,730338,738068,748621,766950,791913,822405,850497,877424,902024,924450,941840,958690,974300,971100,967100,965300,969300,971600,972200,972800,972500,972900,976400,981800
Females,35-39,120547,139560,191300,197200,205000,212100,217400,222900,229900,234200,237300,238600,239300,236900,235500,233300,234600,234700,235400,236000,237000,237900,239700,243500,249300,255000,259800,265400,272100,279000,292400,306200,314700,319700,319800,316200,316600,326800,337300,350000,361500,370200,371700,370500,369800,369400,367200,367452,362950,358013,355034,355134,366150,371534,378963,390065,402490,409597,418665,427224,443837,465205,484894,525999,559091,579973,603016,624946,624270,634476,645714,656478,664159,676840,686977,696154,710085,726422,739458,748763,753976,752101,746155,737748,730935,730858,738508,758876,783223,800808,808009,806239,791706,781021,777256,778551,787641,805594,833090,865200,896330,924100,939000,949300,959700,972400,986900,997200,1005800,1011100,1016600,1019900,1021800
Females,40-44,95055,124651,161900,167800,173100,178900,184400,190100,196800,204800,211400,216100,220800,226200,229100,231200,232200,232900,230900,229800,228600,231200,232200,233400,233800,233800,233500,234100,237000,244000,253300,262600,273000,283700,292300,304200,315600,322400,326200,326100,322900,323500,334400,344400,356700,367900,376500,378504,378624,379173,381345,378965,387450,383373,375770,370027,364748,363594,370217,377872,386494,395175,406623,421757,433412,452177,472483,494215,535871,570015,595918,618755,639133,641195,646133,655470,665515,676241,688647,698890,710623,724739,740243,755459,765722,770759,769398,763479,757398,754771,761613,774248,800496,825658,839206,840987,835962,819136,806250,800770,802560,813000,826500,846600,874400,903700,931100,954400,972100,986700,1000300,1015600,1026400
Females,45-49,66176,108537,137300,139900,143600,147900,153700,159300,165200,170100,175100,179800,185500,191500,198900,205100,210100,214600,219800,222500,225000,226800,228200,226800,225800,224200,225900,226000,226200,227300,229600,232100,235500,241200,249100,257100,265300,274900,285300,294400,306800,317500,323600,326400,325800,322600,323600,335581,345736,358436,369789,378333,390270,389323,390083,389440,388297,384193,377211,370500,364900,361420,358334,364815,373964,385906,398492,409091,421725,435251,455920,478641,502647,538066,571916,594394,614519,637156,639732,650374,661719,670207,679338,689625,702917,717332,731606,746140,762152,775819,783995,784237,777690,774249,774044,780988,794148,819262,841320,852480,853410,848600,827800,809800,801800,802600,813100,831800,856900,887100,917000,944700,968200
Females,50-54,52263,84787,120100,124100,126800,129800,131900,133900,136200,139400,142800,147700,152900,158000,162200,167100,172300,178100,184100,191500,198000,203500,208200,213500,215900,217800,218500,219200,217600,217300,217400,221100,223700,225600,226600,227700,229100,232100,237800,246100,255000,262900,272100,282000,290800,302500,313100,319574,321246,319526,315952,317453,338238,349479,361632,374285,378818,382944,381893,382421,381014,378030,379060,373833,367261,362034,358042,359852,368063,377382,389177,400880,413172,423818,433132,451716,474113,494971,534489,569538,594449,619246,643855,643712,650127,657784,666528,677673,691160,704460,720965,736829,754436,769565,782177,790402,790311,785688,781080,779230,784420,797200,818300,837000,846100,847100,841700,824600,810000,803600,804600,815500,834200
Females,55-59,43366,56923,100500,102900,106300,109900,113300,116700,119600,121200,123100,124600,126700,128600,131500,134900,139900,145000,150100,154800,159900,165500,171000,176600,183700,189300,193800,197800,202800,205200,207900,209600,211600,211200,212000,212000,215100,217700,219700,221000,222700,223900,227000,232500,240700,249400,257200,267208,276367,284215,293774,299938,309927,314921,316348,314623,319957,328312,340072,352058,363896,370982,370456,372136,374180,374424,373937,370702,367210,363529,360992,359137,358648,366030,375004,384526,393968,405540,418970,431030,449965,470468,492559,532020,566080,589127,610845,629098,628525,637301,647926,659626,673924,689724,704484,719662,735291,752177,767810,779450,788100,788300,780700,772900,770100,774700,787400,811200,832100,842500,843700,838700,821800
Females,60-64,37224,43974,78800,82600,86600,90500,93000,95200,97500,100500,103300,105900,108800,111000,111900,113700,115200,117000,119200,122300,125900,131500,136600,141500,145700,150100,154600,159300,164600,171300,177200,182000,186700,192400,195200,197400,199000,200700,201100,202600,203300,206300,208500,210300,211600,213000,215300,218977,224595,232531,241391,248557,267043,274185,281982,292386,299888,304541,306188,306573,304042,308423,321296,331697,343556,356509,363859,367834,368316,370065,370601,370653,370089,364926,358907,355876,355373,354905,361729,370363,381927,394318,405285,416226,427212,444830,465778,487928,526437,557688,578022,597346,614802,616525,627944,641390,653717,667305,682740,697700,712370,730000,744100,756500,767300,776000,775200,770500,765700,764000,769200,782200,805900
Females,65-69,30094,36464,50000,54800,59600,63900,68100,71400,74200,77200,80000,82100,84600,87000,90200,92600,94600,96800,98900,99900,101400,102900,104700,106700,109300,112700,117900,123000,127700,131400,135600,139700,144100,149400,155900,161400,166000,170300,175800,178600,181600,183500,185600,185800,187900,188600,191700,194178,195615,197226,199742,202003,209400,217010,225532,232859,239784,247930,257322,265496,275225,282834,286071,290317,291268,288824,292431,304099,316140,329320,342874,348562,351248,352619,354675,353443,352815,352999,350416,347086,344044,342887,344577,352056,360951,371550,381924,391086,403520,416253,435484,457154,480007,514230,542869,562692,583148,603963,606860,617040,629530,642200,654000,667200,681100,695400,711300,727200,741500,753500,762500,762000,757900
Females,70-74,18301,26007,32000,33000,34500,36400,38900,42100,45900,49700,53100,56600,59600,61700,64000,66500,68400,70400,72500,75300,77400,79600,81700,82900,83300,84200,85100,86500,88500,91600,95300,100500,105100,108900,111900,114800,118800,122900,127800,134100,139300,143500,147500,153000,155700,158300,160000,162112,161740,162428,161891,164061,171941,174637,178606,184211,184724,188866,193674,201132,207743,214965,225431,234522,242382,252401,259198,263853,267203,267519,265811,270638,282261,292294,302977,316404,321718,325411,326911,329223,331349,331527,332562,329725,325975,322990,322067,323789,331936,340214,350656,360864,370375,384453,397916,415752,434039,453355,487690,517620,539000,560300,579000,581400,591100,603600,614900,628000,642300,657000,671200,687200,703200
Females,75-79,9739,16501,20700,21400,21900,22200,23100,23600,24300,25200,26400,28000,30600,33600,36500,39100,42000,44000,45700,47500,49400,50800,52300,53600,55400,57000,59000,60600,61400,61800,62800,63800,65500,67200,70100,73300,77100,80800,83700,86100,88600,92000,95700,99800,105300,109700,113000,116602,119931,121224,121955,122749,125712,127629,128415,129405,135950,141525,143665,146001,149992,151667,154420,161037,168946,176220,183980,191700,198872,205862,214781,220691,225502,228893,229639,227190,232527,242603,255124,267311,279199,285927,290027,292051,294773,296501,296617,296686,296371,295393,295026,296045,299930,304992,311953,321960,332446,343045,355451,366307,383102,400800,419700,451700,479800,499900,519900,538600,542200,552600,565000,576500,589600
Females,80-84,4961,7689,10300,10600,11000,11600,12100,12500,12900,13300,13600,14200,14600,15000,15600,16200,17200,18800,20700,22600,24100,25900,27400,28400,29400,30900,31900,32700,33500,34700,35800,37300,38500,39100,39400,40000,40900,42200,43300,45600,47800,50900,53500,55600,57200,58700,61100,63753,66503,70556,73134,74994,78070,80358,83105,85397,86475,89363,90138,91620,92838,97656,102067,104974,108302,112923,115408,118684,123781,129058,133809,139325,145415,151335,158037,166739,171783,175736,178927,181053,181998,188803,200436,209425,218712,227491,233586,237030,240666,244587,247645,250653,253460,252511,251378,250715,250321,252601,259289,267379,277194,287300,296500,307600,317700,332900,348900,366600,396100,421700,440200,458500,475700
Females,85 and over,2030,3564,5500,5600,5500,5200,5200,5300,5500,5600,5900,6200,7000,7600,8200,8400,8600,8700,8900,9000,9200,9600,10500,11300,12000,12800,14200,15500,16700,17600,18400,19100,19600,20000,21300,22400,23300,24000,24400,25100,25700,26700,27900,29600,31200,33100,35000,36941,37974,39079,40673,43249,45873,48144,50563,53239,55940,59686,62370,65472,68156,71404,74805,77731,80264,83226,88811,94589,97194,99813,103208,105609,110027,115428,121529,127089,133804,140902,148637,155923,165165,174084,182075,187928,192316,196485,205680,215426,226213,235214,244222,255010,264537,273490,282232,290292,297063,303441,307857,312416,317591,322500,328800,335900,344200,353300,363800,375100,388700,402000,419900,439200,460200
